,song_name,artist_name,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
558,Poison,Alice Cooper,60,269600,0.0515,0.3,0.894,0.000333,2,0.125,-7.7860000000000005,0,0.109,118.631,4,0.268
562,Wait,White Lion,51,295426,0.00122,0.204,0.794,0.0,2,0.14800000000000002,-7.586,1,0.0618,149.346,4,0.205
563,Over The Mountain,Ozzy Osbourne,3,271400,4.95e-05,0.46299999999999997,0.9259999999999999,0.000576,5,0.0868,-3.563,0,0.12,131.129,4,0.501
566,I Surrender,Rainbow,59,241893,0.159,0.498,0.858,0.0,7,0.262,-5.2589999999999995,0,0.0661,132.718,4,0.778
567,Edge Of A Broken Heart,Vixen,54,265333,0.0113,0.619,0.7509999999999999,7.87e-05,7,0.12300000000000001,-11.568,0,0.0417,126.079,4,0.532
571,Kiss Me Deadly,Lita Ford,55,241800,0.008190000000000001,0.46799999999999997,0.743,7.879999999999999e-05,0,0.369,-10.845999999999998,1,0.0326,156.10299999999998,4,0.648
574,Heaven,Warrant,64,236843,0.115,0.462,0.488,0.0,6,0.128,-11.142999999999999,1,0.0287,145.789,4,0.33
577,Runaway,Bon Jovi,67,230666,0.0048200000000000005,0.47600000000000003,0.897,2.3800000000000003e-05,9,0.152,-4.237,0,0.0627,152.497,4,0.667
578,Shake Me,Cinderella,54,222466,0.00465,0.5670000000000001,0.889,0.000183,9,0.26899999999999996,-11.782,1,0.0304,132.726,4,0.555
579,Modern Day Cowboy,Tesla,60,318226,0.0158,0.44,0.772,5.65e-06,9,0.08199999999999999,-8.838,1,0.0335,112.839,4,0.321
582,High Enough,Damn Yankees,59,287320,0.0241,0.273,0.537,0.0,2,0.0922,-9.612,1,0.0306,81.814,4,0.23199999999999998
584,Living After Midnight,Judas Priest,64,210133,0.0136,0.61,0.8240000000000001,1.75e-06,4,0.0606,-6.046,1,0.0534,134.99200000000002,4,0.8190000000000001
585,Wild Child,W.A.S.P.,59,312400,0.0608,0.37200000000000005,0.857,9.01e-05,5,0.187,-7.816,0,0.0461,146.08,4,0.389
589,Sister Christian,Night Ranger,57,302933,0.159,0.447,0.348,1.98e-06,5,0.0835,-16.199,1,0.039,177.356,4,0.22699999999999998
590,Love Song,Tesla,45,321266,0.36,0.341,0.406,0.0519,2,0.126,-8.139,1,0.0359,79.995,4,0.33
593,Don't Close Your Eyes,Kix,49,257053,0.0795,0.537,0.382,0.00115,7,0.114,-15.568,0,0.0245,148.061,4,0.33799999999999997
596,Don't Treat Me Bad,Firehouse,54,235360,0.000303,0.616,0.807,2.37e-05,8,0.193,-11.4,1,0.0348,111.054,4,0.637
598,House Of Pain,Faster Pussycat,54,346626,0.0766,0.519,0.61,6.49e-05,0,0.248,-10.255999999999998,1,0.036000000000000004,121.324,4,0.23199999999999998
604,Uncle Tom's Cabin,Warrant,52,241506,0.18600000000000003,0.633,0.732,1.3699999999999998e-05,8,0.13,-6.785,1,0.0707,126.56700000000001,4,0.273
608,Since You Been Gone,Rainbow,65,197866,0.551,0.716,0.821,5.68e-06,7,0.618,-4.204,1,0.0389,120.73700000000001,4,0.9309999999999999
611,Wind Of Change,Scorpions,37,313226,0.297,0.45299999999999996,0.5429999999999999,0.0,0,0.0928,-10.106,1,0.0366,151.362,4,0.282
612,Every Breath You Take,The Police,45,253733,0.413,0.828,0.447,0.00335,1,0.07400000000000001,-10.562999999999999,1,0.0349,117.391,4,0.6759999999999999
618,Can't Fight This Feeling,REO Speedwagon,73,294773,0.155,0.408,0.48,1.82e-05,9,0.0877,-11.017000000000001,1,0.0266,156.344,4,0.19
622,When I See You Smile,Bad English,67,257440,0.42,0.495,0.609,0.0,7,0.187,-9.902000000000001,1,0.0339,135.671,4,0.33
629,Open Arms,Journey,69,202173,0.584,0.405,0.21,0.0,2,0.139,-13.214,1,0.0279,100.57700000000001,3,0.174
632,The Flame,Cheap Trick,64,338800,0.513,0.629,0.581,2.06e-06,4,0.0755,-11.856,1,0.027000000000000003,97.074,4,0.359
633,Nothing's Gonna Stop Us Now,Starship,75,270333,0.0298,0.643,0.8009999999999999,0.0,6,0.0719,-4.921,1,0.0228,95.988,4,0.534
635,Straight From The Heart,Bryan Adams,55,211933,0.0814,0.578,0.213,0.0,0,0.11599999999999999,-18.504,1,0.0277,84.77799999999999,4,0.317
637,Waiting For A Girl Like You,Foreigner,69,292066,0.31,0.33,0.469,2.3e-06,10,0.0402,-9.286,0,0.0335,201.327,4,0.433
638,Careless Whisper,George Michael,13,300093,0.14400000000000002,0.575,0.634,1.68e-06,2,0.314,-8.822000000000001,0,0.0348,153.217,4,0.79
642,Heaven,Bryan Adams,14,243666,0.0596,0.34,0.41200000000000003,0.0,9,0.11699999999999999,-13.727,0,0.0268,69.857,4,0.402
651,Faithfully,Journey,70,267080,0.0979,0.20199999999999999,0.644,0.0,11,0.109,-5.212000000000001,1,0.0324,85.04,5,0.252
654,Alone,Heart,73,218733,0.638,0.418,0.452,0.00026000000000000003,1,0.0959,-13.099,1,0.0356,175.088,4,0.168
660,(I Just) Died In Your Arms,Cutting Crew,69,280400,0.0158,0.625,0.726,0.000169,11,0.0625,-11.402000000000001,0,0.0444,124.945,4,0.507
675,Any Way You Want It,Journey,66,201866,0.000312,0.519,0.934,0.00457,7,0.13699999999999998,-7.1370000000000005,1,0.0471,138.162,4,0.586
691,I Ran,A Flock Of Seagulls,57,220306,0.000466,0.525,0.858,0.878,9,0.166,-4.927,0,0.0345,145.49200000000002,4,0.669
694,Desire,U2,63,179360,0.000212,0.49,0.8270000000000001,0.00406,8,0.11199999999999999,-9.481,1,0.0482,108.57700000000001,4,0.626
705,The Safety Dance,Men Without Hats,56,164866,0.0252,0.524,0.8809999999999999,0.0,5,0.10099999999999999,-4.479,1,0.0468,101.677,4,0.62
709,Shout,Tears For Fears,69,393666,0.174,0.511,0.9420000000000001,1.87e-05,0,0.139,-10.407,1,0.0429,97.90899999999999,4,0.498
710,Tainted Love,Soft Cell,26,162506,0.43799999999999994,0.569,0.402,0.0,0,0.134,-10.151,1,0.0433,144.635,4,0.696
712,Summer Of '69,Bryan Adams,80,216053,0.0183,0.508,0.8340000000000001,0.0,2,0.0732,-6.205,1,0.0386,139.131,4,0.774
713,One,Metallica,69,447440,0.00112,0.444,0.703,0.0761,7,0.127,-9.443,1,0.0641,106.228,4,0.419
715,Jessie's Girl,Rick Springfield,9,195933,0.113,0.7040000000000001,0.77,0.0,2,0.10099999999999999,-8.843,1,0.0526,131.57,4,0.8390000000000001
716,Come On Eileen,Dexys Midnight Runners,72,287306,0.648,0.45,0.6579999999999999,3.14e-06,2,0.264,-7.064,1,0.0472,106.79899999999999,4,0.7809999999999999
